City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,kankara,11.9302,7.4127,24.72,66,98,1.41,NG,2023-07-16 02:33:22
220,kampong thom,12.7111,104.8887,32.91,47,99,5.49,KH,2023-07-16 02:33:22
221,kerikeri,-35.2268,173.9474,18.28,77,100,0.45,NZ,2023-07-16 02:33:22
222,saint-pierre,-21.3393,55.4781,21.82,88,75,9.26,RE,2023-07-16 02:28:34
223,bereket,39.2446,55.5154,27.67,44,98,6.11,TM,2023-07-16 02:33:23
224,codrington,-38.2667,141.9667,13.4,71,100,5.17,AU,2023-07-16 02:33:24
225,afaahiti,-17.75,-149.2833,26.7,62,0,2.11,PF,2023-07-16 02:33:24
226,yanam,16.7333,82.2167,30.42,64,100,4.22,IN,2023-07-16 02:33:24
227,pacocha,-17.5833,-71.3333,16.2,85,38,1.1,PE,2023-07-16 02:33:25
228,san luis de la loma,17.2706,-100.8939,27.8,81,94,2.14,MX,2023-07-16 02:33:25
229,homer,59.6425,-151.5483,13.76,79,100,0.0,US,2023-07-16 02:33:26
230,dunedin,-45.8742,170.5036,11.56,61,73,3.13,NZ,2023-07-16 02:33:26
231,les sables-d'olonne,46.6667,-1.8333,13.44,73,5,6.34,FR,2023-07-16 02:33:26
232,cova figueira,14.8905,-24.2934,22.94,80,73,0.41,CV,2023-07-16 02:33:27
233,nova sintra,14.8667,-24.7167,22.27,79,67,0.88,CV,2023-07-16 02:33:27
234,mahibadhoo,3.7833,72.9667,28.24,75,14,3.42,MV,2023-07-16 02:33:27
235,yemetsk,63.4721,41.7941,17.47,73,100,1.0,RU,2023-07-16 02:33:27
236,kavalerovo,44.2661,135.0572,16.77,85,100,2.8,RU,2023-07-16 02:33:28
237,sofo-birnin-gwari,11.0154,6.7804,22.94,78,100,1.45,NG,2023-07-16 02:33:29
238,parvatipuram,18.7833,83.4333,25.92,89,100,0.9,IN,2023-07-16 02:33:29
239,wailua homesteads,22.0669,-159.378,28.44,76,100,8.23,US,2023-07-16 02:33:29
240,argo,37.6333,22.7333,28.77,52,0,2.18,GR,2023-07-16 02:33:30
241,suva,-18.1416,178.4415,22.71,88,100,3.09,FJ,2023-07-16 02:33:30
242,egilsstadir,65.2653,-14.3948,6.95,93,100,3.6,IS,2023-07-16 02:33:30
243,aras-asan,8.8908,126.3033,29.5,69,91,2.36,PH,2023-07-16 02:33:31
244,weno,7.4515,151.8468,30.97,74,75,3.6,FM,2023-07-16 02:33:31
245,kalifornsky,60.4183,-151.29,12.19,98,100,2.06,US,2023-07-16 02:33:31
246,ilulissat,69.2167,-51.1,5.01,93,100,1.54,GL,2023-07-16 02:33:31
247,alofi,-19.0595,-169.9187,22.94,78,100,6.69,NU,2023-07-16 02:29:16
248,puerto baquerizo moreno,-0.9,-89.6,25.0,80,11,4.59,EC,2023-07-16 02:32:25
